Nombre de la ciudad,Universidad en la ciudad,Hospital en la ciudad,Coordenadas
Stephanieview,Mcdonald Ltd University,Johnston LLC Hospital,"(-13.79, -51.42)"
Deborahshire,Ortiz-Arnold University,Ramirez-Stokes Hospital,"(-10.33, -52.94)"
Mariechester,Lewis PLC University,Long Inc Hospital,"(-0.94, -51.12)"
Raybury,Moore-Jones University,Montgomery-Taylor Hospital,"(-9.24, -54.15)"
Younghaven,"Rivera, Pena and Gonzalez University",Glenn-Bridges Hospital,"(1.45, -52.45)"
New Katherine,"Nichols, Evans and Lewis University",Nguyen-Lowe Hospital,"(-2.24, -56.97)"
South Harold,Meyers PLC University,"Cantrell, Garza and Torres Hospital","(-11.71, -51.61)"
Stephanieton,Ortiz Group University,Martin-Hicks Hospital,"(-13.75, -50.0)"
South Deborahborough,Morris-Smith University,Cowan-Robinson Hospital,"(0.93, -56.05)"
Bryanhaven,"Morrison, Harris and Hughes University",Wilson PLC Hospital,"(2.29, -55.12)"
East Kelseyshire,Vincent-Wheeler University,Anderson Group Hospital,"(-10.19, -56.39)"
West John,Oneal Group University,Kim-Kelly Hospital,"(-0.37, -54.4)"
North Nicholas,Nielsen LLC University,"Carpenter, Andersen and Cruz Hospital","(2.73, -57.04)"
North Jeffrey,Woods-Rodriguez University,Lopez-Carter Hospital,"(-11.21, -56.34)"
Lake Angelaville,Martinez-Monroe University,Duffy Inc Hospital,"(-14.8, -55.99)"
East Emilyfurt,Mcclure Inc University,Maldonado Ltd Hospital,"(-4.95, -55.41)"
Cobbview,Dean Group University,Lee-Hughes Hospital,"(-1.23, -57.72)"
Ericksontown,Grant-Green University,"Robinson, Smith and Davis Hospital","(0.46, -51.2)"
Hardinview,Smith-Hunt University,James Ltd Hospital,"(-5.8, -56.09)"
Normaland,Lawrence Inc University,Carter-Miller Hospital,"(-11.62, -51.27)"
