Nombre de la ciudad,Universidad en la ciudad,Hospital en la ciudad,Coordenadas
Evanmouth,"Crawford, Beck and Jackson University",Cortez and Sons Hospital,"(-7.4, -52.21)"
Kingview,Rogers-Rice University,Meyer LLC Hospital,"(-11.81, -55.61)"
New Natasha,Marquez LLC University,"Porter, Cohen and Davenport Hospital","(-8.3, -58.46)"
Charlenechester,Jones PLC University,Brown-Garcia Hospital,"(-5.06, -55.68)"
South Johnside,Taylor Group University,Williams Inc Hospital,"(-3.43, -53.69)"
South Aliceshire,"Dillon, Michael and Gonzalez University",Hart Inc Hospital,"(-3.98, -51.29)"
Kristyshire,Thompson PLC University,Duncan Ltd Hospital,"(-9.79, -56.42)"
South Ambermouth,Parsons Ltd University,"Stewart, Mitchell and Nichols Hospital","(-8.3, -56.19)"
Samuelfurt,Flores Inc University,Pittman-Warren Hospital,"(-13.62, -55.34)"
West Sandra,Alexander PLC University,Wilson-Schneider Hospital,"(-10.95, -51.42)"
Beasleychester,Ferguson-Walsh University,Gomez-Nelson Hospital,"(-4.35, -52.68)"
North Annton,Becker Group University,Smith-Harris Hospital,"(-0.8, -51.31)"
Kimberlyhaven,"Washington, Ramos and Rivera University",Sherman-Graves Hospital,"(-11.23, -58.01)"
Josephfort,Davis Ltd University,Moreno PLC Hospital,"(-14.51, -53.57)"
Debraton,"Sawyer, Arias and Lee University",Ramos Group Hospital,"(-4.52, -53.39)"
Hooverhaven,Riley LLC University,Garcia-Thomas Hospital,"(-14.01, -50.15)"
Anthonyside,Fox Ltd University,Hutchinson LLC Hospital,"(-8.8, -53.95)"
Joditon,Wagner-Bowen University,Crawford-Green Hospital,"(-1.27, -52.44)"
North Glenn,Smith-Dominguez University,Harris-Santiago Hospital,"(-10.16, -58.2)"
Davidfort,Nelson-Mack University,"Williams, Craig and Watson Hospital","(-1.62, -50.9)"
