Nombre de la ciudad,Universidad en la ciudad,Hospital en la ciudad,Coordenadas
Peterfort,Pearson Ltd University,Ellis-King Hospital,"(-2.72, -55.22)"
Stanleytown,Martinez Group University,Warren-Jackson Hospital,"(1.53, -50.61)"
Murphyton,"Deleon, King and Lucas University",Rice and Sons Hospital,"(-0.13, -50.43)"
Benjaminborough,Wright Inc University,Charles-Richardson Hospital,"(-2.14, -58.96)"
Virginiatown,Simmons-Harrison University,Lambert and Sons Hospital,"(-1.52, -50.0)"
Bookermouth,"Mcdonald, Bowen and Robinson University",Neal-Holland Hospital,"(-2.57, -58.03)"
Port Donnamouth,"Griffith, Mccullough and Miller University","Dixon, Mcgee and Brooks Hospital","(-11.32, -52.5)"
Martinezshire,Moran-Diaz University,Baker Inc Hospital,"(-3.11, -57.79)"
North Sarahchester,"Jones, Medina and Parker University",Fox-Mccormick Hospital,"(1.05, -58.57)"
New Sarahside,Calderon Ltd University,"Larson, Chapman and Johnson Hospital","(-0.93, -52.53)"
Ronaldmouth,Cooper-Herrera University,Brown LLC Hospital,"(0.21, -58.99)"
South Wanda,Hunt LLC University,Gonzalez LLC Hospital,"(-3.59, -53.28)"
Guerrabury,Hill PLC University,Price-Arroyo Hospital,"(-1.49, -55.94)"
Craigport,Smith Group University,Bennett and Sons Hospital,"(-10.89, -57.69)"
East Edwardton,Huffman Ltd University,May-Stokes Hospital,"(-8.53, -52.45)"
South Angela,"Strickland, Taylor and Hickman University",Lawson Group Hospital,"(-3.56, -55.33)"
Jennifershire,"Brown, Barrett and Ware University",Jacobs Ltd Hospital,"(-9.8, -54.39)"
New Michael,Lin Ltd University,Nunez PLC Hospital,"(-2.27, -53.72)"
South Matthew,Robinson Ltd University,"Bryant, Miller and Pineda Hospital","(-3.77, -51.74)"
North Kevin,Clark-Lawrence University,Morales-Nguyen Hospital,"(2.82, -58.24)"
