Nombre de la ciudad,Universidad en la ciudad,Hospital en la ciudad,Coordenadas
West Thomasbury,"Stephens, Ramirez and Jones University",Mendoza-Thomas Hospital,"(-2.33, -52.7)"
New Diamond,Edwards Group University,Taylor-Lane Hospital,"(-6.24, -53.94)"
Port Jacobfurt,Orozco Ltd University,Thompson PLC Hospital,"(-6.82, -54.79)"
New Stephanie,Hernandez-Blair University,Wright and Sons Hospital,"(-2.26, -58.28)"
Caseyport,Hoffman-Carter University,Ortiz-Dixon Hospital,"(-6.46, -54.13)"
Port Bruce,Gonzalez Group University,Gillespie PLC Hospital,"(-12.34, -55.03)"
Fuentesborough,"Ruiz, Phelps and Hawkins University",Church Group Hospital,"(-6.32, -56.89)"
Robertborough,Stephenson LLC University,Fields Inc Hospital,"(-14.24, -55.3)"
Linville,Holmes Ltd University,"Clark, Nelson and Harper Hospital","(-6.11, -54.02)"
Whitakerfort,"Allen, Anderson and Molina University","Navarro, Young and Montoya Hospital","(-4.87, -58.76)"
Kristinmouth,Warner Ltd University,Davis-Simmons Hospital,"(-2.2, -58.43)"
Paulfort,"Moss, Martinez and Tate University","Dickson, Daniels and Farmer Hospital","(-6.23, -56.83)"
Paulaview,"Carlson, English and Nguyen University",Taylor-Thomas Hospital,"(-14.18, -53.45)"
North David,Berry-Frazier University,Lambert-West Hospital,"(-13.92, -56.15)"
Davisside,"Lozano, Fry and Johnson University",Haas-Duran Hospital,"(-8.13, -56.92)"
East Susan,Gomez-Brooks University,Thomas Ltd Hospital,"(-5.57, -50.07)"
West Johnnyfurt,"Nguyen, Santos and Carr University",Li Group Hospital,"(0.84, -58.28)"
Fuentesmouth,"Dennis, Stephens and Simmons University",Browning PLC Hospital,"(0.58, -52.46)"
New Daniel,"Barron, Smith and Hill University",Black LLC Hospital,"(-1.85, -51.64)"
Marktown,Clark and Sons University,"Miles, Meadows and Johnson Hospital","(-5.75, -57.92)"
