Nombre de la ciudad,Universidad en la ciudad,Hospital en la ciudad,Coordenadas
East Michaelport,Hill and Sons University,Walsh-Ford Hospital,"(-14.51, -57.67)"
Jessicafurt,Johnson-Wheeler University,"Shelton, Black and Merritt Hospital","(-9.18, -54.03)"
Orozcoview,Hall-Collins University,"Douglas, Herman and Villarreal Hospital","(-12.92, -58.94)"
Lake Monique,"Gallegos, Simpson and Avery University",Bowers PLC Hospital,"(2.14, -52.97)"
Bartonborough,Harmon PLC University,Fleming-Gordon Hospital,"(-13.12, -55.01)"
Joshuamouth,Mendez Ltd University,"Archer, Garcia and Ewing Hospital","(-1.48, -50.29)"
Jasminefort,"Martin, Lopez and Vincent University",Gallegos-May Hospital,"(1.06, -56.38)"
South Stevenberg,Beck Ltd University,"Burton, Thornton and Johnson Hospital","(1.43, -51.19)"
Taylorburgh,Jackson-Riley University,Warren-Wilcox Hospital,"(-10.13, -57.02)"
Daltonfurt,Rios-Lewis University,Mckee LLC Hospital,"(-2.72, -58.39)"
Christinashire,Dixon-Oconnor University,Harris-Montgomery Hospital,"(-9.0, -51.99)"
Smithchester,"Bell, Bailey and Velasquez University","Foster, Simmons and Davis Hospital","(-14.37, -53.09)"
Morganberg,Rogers-Harrison University,Davis PLC Hospital,"(-6.55, -53.5)"
Owensport,"Fleming, Morgan and Hall University",Mcfarland-Miller Hospital,"(-11.2, -58.35)"
Port Sarah,Shannon Ltd University,Conrad-Stephenson Hospital,"(-7.42, -56.27)"
Torresport,Allen and Sons University,Morrow-Smith Hospital,"(2.3, -56.88)"
Lake Jennifer,Copeland-Roberts University,Jones LLC Hospital,"(-9.4, -58.17)"
Kelleyfurt,"Schultz, Rodgers and Yates University",Ross-Calderon Hospital,"(-6.39, -55.12)"
Marisastad,"Spencer, Welch and Johnson University","Reese, Fitzpatrick and Johnson Hospital","(-0.9, -56.39)"
South Anthony,"Nguyen, Brown and Smith University","Underwood, West and Taylor Hospital","(-13.09, -53.93)"
