Nombre de la ciudad,Universidad en la ciudad,Hospital en la ciudad,Coordenadas
Brownberg,Quinn Group University,"Kim, Bishop and Marsh Hospital","(-5.63, -54.07)"
New Angelica,Johnson-Jefferson University,Mosley-Daniels Hospital,"(-13.33, -51.24)"
Andrewside,"Martinez, Mercado and Reynolds University",Logan-Spencer Hospital,"(-13.72, -57.81)"
South Jason,"Calderon, Weaver and Bradley University","Hill, Thompson and Rodriguez Hospital","(-9.43, -57.82)"
Watsonmouth,"Jacobs, Diaz and Haynes University","Chapman, Roberts and Osborn Hospital","(-6.27, -52.4)"
East Valerie,Lopez-Hall University,Griffin Inc Hospital,"(-5.41, -57.4)"
New Christopher,Morris-Powell University,Chung-Cooper Hospital,"(0.46, -53.51)"
Tiffanyberg,Scott Inc University,Simmons PLC Hospital,"(-9.12, -58.86)"
Roberthaven,Reed Ltd University,"Palmer, Robbins and Kirby Hospital","(-5.17, -55.64)"
South Danielleberg,"Johnson, Mitchell and Thompson University",Harrison Group Hospital,"(-11.33, -56.36)"
Phillipshire,Castillo-Valenzuela University,"Green, Reese and Brown Hospital","(-4.3, -50.61)"
Lake Baileyport,Torres-Ramsey University,"Bailey, Sweeney and Hamilton Hospital","(-8.76, -50.99)"
Barbarafurt,"Melendez, Park and Simon University",Buck-Hall Hospital,"(-1.53, -58.0)"
Burtonton,"Macdonald, Hanson and Mcdonald University",Bradley-Keith Hospital,"(-9.86, -54.25)"
Brandonport,Sanchez-Chavez University,Barber-Garcia Hospital,"(-4.82, -51.13)"
South Heather,Collins and Sons University,Robinson Ltd Hospital,"(0.32, -57.28)"
Mullinsberg,"Fletcher, Anderson and Henderson University",Jordan Ltd Hospital,"(-13.9, -58.34)"
South Samanthabury,Miller-Williams University,"Vazquez, Smith and Howard Hospital","(-7.97, -54.39)"
Scottmouth,Williams Ltd University,Douglas-Jones Hospital,"(-5.05, -52.06)"
Kimberlyside,"Meyers, Alvarez and Williams University",Johnson LLC Hospital,"(-7.59, -56.8)"
