Nombre de la ciudad,Universidad en la ciudad,Hospital en la ciudad,Coordenadas
Frankfort,Bridges LLC University,Kim Group Hospital,"(-1.01, -52.05)"
Lake Jamesview,Clark-Walters University,"Sampson, Cook and Buchanan Hospital","(-6.62, -57.08)"
West Melissatown,"Lopez, Harper and Thompson University",Compton PLC Hospital,"(-14.15, -51.54)"
West Michaeltown,Thomas-Robinson University,"Reyes, Burgess and Lewis Hospital","(-13.23, -55.74)"
New Baileyfurt,Fischer-Espinoza University,Gomez-Peterson Hospital,"(2.77, -52.13)"
Annastad,"Rodgers, Perez and Tran University","Macias, Campbell and Smith Hospital","(-5.15, -57.44)"
Christopherport,Johnson-Brown University,"Brown, Griffin and Boyd Hospital","(-5.42, -58.97)"
New Charles,"Sanchez, Bender and Harmon University",Kline PLC Hospital,"(-6.04, -58.69)"
North Robert,"Chan, Johnson and Graves University",Murray-Woods Hospital,"(-5.77, -55.88)"
Jonesshire,Huffman Group University,"Shah, Patrick and Adams Hospital","(2.26, -51.92)"
East Cassidy,"Reynolds, Jordan and Hughes University",Hensley-Hanson Hospital,"(-14.36, -54.38)"
North Cheyennebury,"Cook, Martinez and Harrison University",Gonzales PLC Hospital,"(-7.63, -58.19)"
Elizabethbury,Moore Ltd University,Potter-Pacheco Hospital,"(-8.0, -55.24)"
South Joelmouth,Russell-Harris University,Evans Inc Hospital,"(-12.77, -50.35)"
Malonestad,"Chapman, Jimenez and Hanson University","Sanchez, Curry and Mosley Hospital","(-14.87, -56.29)"
Timothyport,Johnson PLC University,Baker Inc Hospital,"(1.27, -54.98)"
North Karen,Rodriguez Ltd University,Welch and Sons Hospital,"(-3.9, -54.67)"
South Scottshire,"Coleman, Hudson and Lang University",Short PLC Hospital,"(-3.75, -50.84)"
Quinnland,Proctor PLC University,Campbell and Sons Hospital,"(-11.78, -55.02)"
East Laura,Hicks Ltd University,"Adkins, Morales and Mullins Hospital","(-12.99, -51.52)"
