Nombre de la ciudad,Universidad en la ciudad,Hospital en la ciudad,Coordenadas
Ryanburgh,"Moore, Huff and Williams University",Bryant Group Hospital,"(-3.28, -56.31)"
North Gregorystad,Porter Ltd University,Washington-Robinson Hospital,"(0.4, -53.14)"
Perezchester,Martin Inc University,Macdonald PLC Hospital,"(-13.72, -55.15)"
Lake Bridget,Austin-Brooks University,Huynh Inc Hospital,"(0.29, -52.33)"
West Justinhaven,Andrews-Mullen University,Johnson Ltd Hospital,"(-6.24, -58.46)"
Lake Sandrafort,"Marshall, King and Johnson University","Padilla, Barber and Gonzalez Hospital","(-0.08, -52.67)"
East Davidfurt,Lopez LLC University,"Norman, Thompson and Cole Hospital","(-13.63, -58.59)"
Leechester,Davis Inc University,"May, Travis and Hoffman Hospital","(-7.62, -54.35)"
Aliciashire,"Wallace, Compton and Alexander University","Walker, Mora and Ray Hospital","(-13.32, -56.56)"
Guzmanburgh,"Baker, Chapman and Chapman University",Byrd-Thompson Hospital,"(-10.09, -57.88)"
North Vanessa,"Freeman, Gibson and James University",Pacheco-Moreno Hospital,"(-7.61, -54.39)"
New Williamside,Garcia-Jordan University,"Grant, Hernandez and Ferguson Hospital","(-5.35, -54.71)"
North Timothy,"Ellison, Smith and Mason University",Sullivan Ltd Hospital,"(-2.2, -53.81)"
Erinbury,"Ho, Berry and Callahan University","Fernandez, Strickland and Jones Hospital","(2.03, -53.64)"
South Michaelside,Newman-Hill University,"Guzman, Collins and Cooper Hospital","(-8.01, -54.57)"
Webbchester,Lee-Armstrong University,Vaughn-Thomas Hospital,"(-9.7, -52.3)"
Westmouth,Mercado-Meyer University,Shaw-Brown Hospital,"(-14.61, -58.96)"
Gomezmouth,Armstrong-Lee University,Miller PLC Hospital,"(2.62, -54.58)"
North Tammy,"Jimenez, Hawkins and Brown University",Wilson and Sons Hospital,"(-0.24, -54.83)"
Johnmouth,Scott-Thompson University,Williams-Tucker Hospital,"(-9.05, -54.81)"
