Nombre de la ciudad,Universidad en la ciudad,Hospital en la ciudad,Coordenadas
Thompsonchester,Mcpherson Inc University,Marquez-James Hospital,"(-1.22, -51.47)"
New Stevenberg,Hughes-Jordan University,"Stephens, Marshall and Jackson Hospital","(-4.89, -53.99)"
Newmanton,Alexander-Mccarthy University,Jackson-Taylor Hospital,"(-8.37, -56.84)"
West Jacob,Chen-Munoz University,Guerrero-Jordan Hospital,"(-14.54, -57.21)"
Gonzalezborough,Pena-Lin University,Smith-Lopez Hospital,"(-3.15, -50.85)"
Bennettbury,Miller-Trevino University,Wang PLC Hospital,"(-2.94, -54.81)"
North Angelaberg,Moreno-Robinson University,Dodson-Patterson Hospital,"(-3.21, -53.84)"
Richardtown,Baker-Jenkins University,Stephenson-Green Hospital,"(-10.79, -58.63)"
Ginatown,Diaz Group University,Horn-Williams Hospital,"(1.99, -52.04)"
Brookstown,"Peterson, Cooper and Gay University",Wright LLC Hospital,"(0.36, -55.6)"
Mcdonaldville,"Foster, Church and Huynh University",Bailey Group Hospital,"(-5.47, -58.93)"
North Christinaburgh,Brown Inc University,Cooper and Sons Hospital,"(-13.43, -51.17)"
East Kelly,Daniels-Cox University,"Reeves, Smith and Lee Hospital","(-2.58, -52.63)"
New Chelseaberg,Pena-Vazquez University,Burke Group Hospital,"(-0.1, -53.7)"
East Sarah,"Nash, Byrd and Smith University","Parker, Lee and Roy Hospital","(-12.35, -57.52)"
Stephanieland,"Lucero, Wilkinson and Wise University","Hughes, Villanueva and Ramirez Hospital","(-8.67, -53.66)"
North Jessica,Davenport Group University,Ewing-Watts Hospital,"(-13.61, -56.17)"
West Robert,Adams and Sons University,Young Inc Hospital,"(-6.42, -56.84)"
Watsonbury,Bailey-Brown University,Maxwell-Powell Hospital,"(-9.27, -51.36)"
Port Johnshire,Robbins-Robinson University,"Morgan, Lewis and Reyes Hospital","(-9.17, -57.68)"
