Nombre de la ciudad,Universidad en la ciudad,Hospital en la ciudad,Coordenadas
East Carlos,Meyer Inc University,"Arnold, Harper and Lucas Hospital","(-1.18, -50.37)"
South Amberburgh,Lucas-Alvarez University,Bennett-Long Hospital,"(-6.71, -51.56)"
West Autumnborough,"Green, Hopkins and Baker University","Brown, Rowe and Randolph Hospital","(-11.65, -57.11)"
North Heather,"Thompson, Randall and Weaver University",Jackson-Armstrong Hospital,"(-3.59, -58.74)"
West Normaton,Jones-Kirk University,Robinson PLC Hospital,"(-2.17, -51.92)"
New Susan,Chambers-Anderson University,Lewis and Sons Hospital,"(-10.27, -51.1)"
Gregoryhaven,Mccoy-Phillips University,Simmons and Sons Hospital,"(-11.14, -58.09)"
East Dylan,Collins PLC University,Zimmerman Inc Hospital,"(-5.4, -58.48)"
Port Heatherview,"Henderson, Palmer and Bartlett University","Smith, Little and Martin Hospital","(-14.36, -51.06)"
West Monicafort,Smith-Wiley University,Griffin Group Hospital,"(-1.77, -57.7)"
West Shawn,Tyler-Davidson University,"Gray, Moran and Smith Hospital","(-14.05, -50.07)"
North Sarah,Ross-Taylor University,Reyes-Reeves Hospital,"(-11.0, -51.8)"
Port Richardchester,"Morton, Evans and Garcia University","Whitehead, Brown and Payne Hospital","(1.4, -54.89)"
North Terri,Garrett Ltd University,Lawrence PLC Hospital,"(2.75, -57.49)"
Lake Kaylafort,York Ltd University,Turner Inc Hospital,"(-1.68, -52.38)"
Robertville,Marquez and Sons University,Scott LLC Hospital,"(0.44, -51.63)"
Port Apriltown,Baker and Sons University,"Perry, Camacho and Morgan Hospital","(-8.84, -53.89)"
Williamberg,"Hall, Miles and Smith University",Thomas and Sons Hospital,"(2.79, -53.83)"
West Troyhaven,Lamb-Scott University,Kaiser-Lewis Hospital,"(-2.14, -53.53)"
Reynoldstown,Hanna-Miller University,Patrick LLC Hospital,"(-2.46, -55.64)"
