Nombre de la ciudad,Universidad en la ciudad,Hospital en la ciudad,Coordenadas
Hallchester,Chaney-Sloan University,Bauer-Wilson Hospital,"(-5.57, -55.25)"
West Joseph,"Ramos, Martin and Smith University",Freeman-Howell Hospital,"(-5.98, -53.45)"
West Ryan,Bauer Group University,"Smith, Lopez and Contreras Hospital","(-11.11, -57.37)"
North Lisa,Anderson Ltd University,Clark Inc Hospital,"(-4.21, -51.5)"
Alvarezshire,"Diaz, Newton and Trujillo University",Carroll-Burton Hospital,"(0.09, -52.24)"
New Jon,Mcdowell-Torres University,"Costa, Hatfield and Myers Hospital","(-11.53, -52.67)"
New Courtneytown,Dillon LLC University,Osborne Group Hospital,"(0.88, -53.44)"
West Rita,Martinez-Fowler University,Francis and Sons Hospital,"(2.81, -58.32)"
East Kevinmouth,"Mendoza, Collins and Wyatt University","Nichols, Herrera and Hardin Hospital","(-10.51, -55.03)"
New Calebland,"Todd, Bailey and Lester University",Potter and Sons Hospital,"(-1.44, -55.04)"
New Thomas,"Kennedy, Huerta and Allen University",Randall PLC Hospital,"(-1.9, -58.37)"
Port Jennifertown,Freeman and Sons University,"Burch, Adams and Vaughn Hospital","(-7.39, -56.3)"
Robertsberg,"Gomez, Turner and Parker University",Adams PLC Hospital,"(-3.63, -58.04)"
East Michaelborough,Long-Nguyen University,"Martinez, Smith and Mann Hospital","(-13.78, -52.09)"
New James,"Hess, Wilson and Smith University","Steele, Thomas and Terrell Hospital","(-10.91, -56.51)"
East Michael,"Avila, Williams and Lopez University","Garcia, Butler and Johnston Hospital","(0.4, -51.43)"
Bellmouth,Watson-Scott University,"Wells, Velazquez and Dixon Hospital","(1.8, -56.31)"
Lake Deborah,"Anderson, Glover and Harvey University",Cooley-Bullock Hospital,"(-7.52, -55.77)"
Wallaceburgh,Strong PLC University,"Miller, Arroyo and Saunders Hospital","(-0.03, -56.47)"
Amyville,"Webster, Jimenez and Ramirez University","Curry, Johnson and Shelton Hospital","(0.75, -55.85)"
