Nombre de la ciudad,Universidad en la ciudad,Hospital en la ciudad,Coordenadas
West Cameronhaven,Walker-Romero University,"Allen, West and Le Hospital","(-0.17, -50.83)"
Faulknerport,"Blair, Taylor and Byrd University","Gibson, Ortega and Richmond Hospital","(-13.54, -58.17)"
East Lisa,Armstrong LLC University,Johns and Sons Hospital,"(2.91, -57.68)"
Wadechester,Wilkerson LLC University,"Mccarthy, Jackson and Wilson Hospital","(-5.3, -53.5)"
Annafurt,Davis Inc University,"Hensley, Estrada and Jones Hospital","(-3.72, -57.98)"
Port Carlos,"Dennis, Brown and Phillips University",Ramos PLC Hospital,"(-12.21, -57.75)"
Nicolefurt,"Rhodes, Hubbard and Jackson University",Alvarado Inc Hospital,"(-0.17, -55.89)"
Michaelfurt,Gonzalez-King University,"Smith, Massey and Williams Hospital","(0.75, -56.04)"
Jenniferfurt,Clark-Davenport University,"Chapman, Baldwin and Frye Hospital","(0.25, -55.66)"
Christiantown,Zhang-Morrow University,Dominguez Inc Hospital,"(-9.64, -55.46)"
Danielleland,"Burns, Washington and Johnson University",Lester-Harris Hospital,"(-1.76, -57.45)"
Thorntonborough,Smith Group University,Johnson Group Hospital,"(-4.58, -56.97)"
Parkerton,"Schwartz, Holmes and Ray University",Farmer Inc Hospital,"(-6.1, -51.8)"
Lisashire,Maddox-Page University,Patrick Inc Hospital,"(2.42, -54.11)"
Lake Joseph,Trujillo-Cruz University,"Perry, Zimmerman and Mueller Hospital","(-1.01, -55.41)"
West Gregoryborough,"Boyd, Powell and Rogers University","Lopez, Thompson and Reed Hospital","(-12.81, -57.92)"
Tranton,Mooney PLC University,Lawrence and Sons Hospital,"(-6.89, -54.64)"
Kellyton,"Stevens, Torres and Hensley University",Mcneil-Hunter Hospital,"(-8.89, -57.1)"
Jenniferbury,Watson-Beasley University,Randall-Parker Hospital,"(0.4, -55.09)"
South Gloriaview,Gregory Group University,"Kirk, Blanchard and Williams Hospital","(-6.0, -58.37)"
