Nombre de la ciudad,Universidad en la ciudad,Hospital en la ciudad,Coordenadas
Henryhaven,"Walker, Sherman and Harris University",Rice Ltd Hospital,"(-12.48, -52.36)"
North Sarahmouth,"Thomas, Todd and Nelson University","Young, Moore and Newman Hospital","(-14.28, -53.23)"
Dudleyland,Anderson Group University,Miller Ltd Hospital,"(-8.4, -55.82)"
West Anna,Brown PLC University,Gibson-Gamble Hospital,"(-12.89, -52.28)"
New Matthewfort,Mccormick-Martinez University,"Gray, Olson and Kelly Hospital","(2.22, -57.26)"
North David,"Chandler, Lane and Small University",Douglas and Sons Hospital,"(-12.14, -54.35)"
Benjaminmouth,Martinez PLC University,Arnold-Richardson Hospital,"(-8.96, -52.12)"
Davidton,Manning-Jordan University,Wolfe-Williamson Hospital,"(-8.42, -52.02)"
Ortegaville,"Dixon, Clay and Levy University","Cummings, Huff and Davis Hospital","(-9.57, -54.9)"
Rileyhaven,"Richards, Jensen and Lewis University",Fowler-Rice Hospital,"(-3.0, -53.51)"
Port Adamhaven,"Baker, Brown and Duran University",Finley Inc Hospital,"(-12.41, -58.4)"
New Justinhaven,"Barnes, Montes and Sellers University",Smith PLC Hospital,"(-12.25, -58.59)"
Whiteside,Erickson Inc University,"Poole, Anderson and Medina Hospital","(-9.84, -54.99)"
Pattonborough,Jones Ltd University,Hill-Caldwell Hospital,"(-4.27, -58.21)"
East Adrienneview,"Wilson, Hoffman and Romero University",Galloway-Reynolds Hospital,"(-11.72, -50.43)"
Patriciaberg,Simmons PLC University,"Roberts, Smith and Williams Hospital","(-2.98, -52.05)"
Wardborough,Ward-Hardin University,Phillips Inc Hospital,"(0.73, -56.76)"
North William,Phillips-Khan University,"Gentry, Watts and Mendez Hospital","(2.67, -57.39)"
Port Cynthiaport,Wilkins Inc University,Cross and Sons Hospital,"(-1.44, -56.27)"
East Ashley,"Fernandez, Munoz and Lin University","Davis, Wu and Alexander Hospital","(-6.8, -58.06)"
