Nombre de la ciudad,Universidad en la ciudad,Hospital en la ciudad,Coordenadas
North Daniel,Bennett LLC University,Green PLC Hospital,"(-4.4, -55.17)"
West Ashley,Smith-Parks University,Welch-Yates Hospital,"(-8.34, -55.66)"
West Vincent,Jensen-Hart University,"Oconnell, Simmons and Dillon Hospital","(-4.21, -54.75)"
Solisville,Sims-Bruce University,Price PLC Hospital,"(-9.18, -58.75)"
Petersonbury,"Chen, Lopez and Morales University",Hill Inc Hospital,"(-9.14, -50.97)"
Gomezport,Young Group University,Sutton Group Hospital,"(-5.57, -56.37)"
Port Cassandratown,Walker-Herrera University,Martin Ltd Hospital,"(-12.25, -55.67)"
South Joseph,Cruz Group University,Hardy LLC Hospital,"(-12.02, -55.7)"
North Nicole,"Brown, Allen and Tucker University",Stanley and Sons Hospital,"(-10.11, -50.39)"
West Annaside,Hansen-Green University,Long Ltd Hospital,"(-3.47, -52.86)"
Williamsmouth,Walls-Carter University,Sanders-Goodwin Hospital,"(-7.12, -55.28)"
East Jessica,Diaz Inc University,Wilson-Kelly Hospital,"(1.18, -51.55)"
Port Thomas,Ross LLC University,"Russo, Gilbert and Garcia Hospital","(-0.29, -53.68)"
Donaldburgh,Davidson-Walker University,Carlson PLC Hospital,"(0.7, -52.39)"
Jamesburgh,Young-Jenkins University,Wood-Perez Hospital,"(-4.63, -56.48)"
North Juliaside,Pope-Ward University,Weber-Brown Hospital,"(-0.03, -50.96)"
Jasonfort,"Sullivan, Horn and Lara University",Cook Inc Hospital,"(-2.53, -52.36)"
Valdezfurt,"Hughes, Yang and Garcia University",Stevens-Cook Hospital,"(0.41, -57.35)"
Matthewville,Foster and Sons University,Griffin-Nguyen Hospital,"(-1.36, -56.82)"
Monicaland,Mccoy Group University,Newman-Norman Hospital,"(-10.6, -54.0)"
