Nombre de la ciudad,Universidad en la ciudad,Hospital en la ciudad,Coordenadas
North Lucasport,Murphy-Moyer University,"Smith, Olsen and Miller Hospital","(2.74, -56.7)"
Port Brianland,"Johnson, Miller and Martinez University",Moody LLC Hospital,"(2.81, -50.96)"
Lake Adriana,Golden Ltd University,"Armstrong, Garrett and Durham Hospital","(-14.53, -56.08)"
North Laura,"Camacho, Brewer and Howard University","King, Johnson and Smith Hospital","(-2.7, -58.44)"
Rogershaven,Burns Inc University,Alvarez LLC Hospital,"(-7.45, -56.78)"
Lake Valerie,Gilmore Inc University,Castro LLC Hospital,"(-0.73, -54.73)"
Peckfort,"Hurley, Kane and Vargas University",Newman-Austin Hospital,"(2.7, -57.95)"
New John,"Luna, Harris and Oconnor University",Collier-May Hospital,"(-1.12, -55.23)"
Jeremiahbury,"Price, Kim and Willis University","Mcmillan, Cohen and Jennings Hospital","(-4.2, -57.61)"
Stewartville,"Dorsey, Myers and Miller University",Huff and Sons Hospital,"(-14.36, -57.19)"
East Christophermouth,"Thomas, Short and Wood University",Benson-Sanchez Hospital,"(-13.59, -56.98)"
West Danielchester,"Nunez, Coffey and Smith University",Lewis Ltd Hospital,"(-8.82, -57.38)"
East Lisa,"Humphrey, Dougherty and Gates University",Jennings-Lindsey Hospital,"(2.13, -58.28)"
South Laura,Mason-Walker University,Williams-Martinez Hospital,"(-5.22, -51.14)"
West Emilyfurt,Benson LLC University,"Warner, Martinez and Sims Hospital","(1.12, -58.66)"
Jamesview,Estrada Inc University,"Patterson, Davis and Moreno Hospital","(-1.41, -57.38)"
New Geraldhaven,Fleming LLC University,Cox-English Hospital,"(1.96, -57.36)"
Port Grant,"Baker, Hill and Lawrence University","Mckee, Freeman and Duarte Hospital","(-5.96, -57.47)"
Alyssaport,"Copeland, Jennings and Davis University",Lewis-Bray Hospital,"(0.05, -58.76)"
East Crystal,Hudson PLC University,Lutz LLC Hospital,"(1.23, -56.65)"
