Nombre de la ciudad,Universidad en la ciudad,Hospital en la ciudad,Coordenadas
Andersonmouth,Jones and Sons University,Villarreal-Diaz Hospital,"(-12.64, -51.95)"
Christinemouth,Goodwin-Roman University,Campos-Sharp Hospital,"(-0.52, -54.93)"
Wilsonburgh,Adams LLC University,"Ford, Yoder and Williams Hospital","(-2.43, -54.88)"
Dillontown,Allen PLC University,Le and Sons Hospital,"(-11.23, -55.47)"
Liside,"Butler, Phillips and Campbell University","Gonzalez, Rogers and Nichols Hospital","(1.11, -56.36)"
North Anthonystad,"Robbins, Johnson and Hill University",Mason-Brown Hospital,"(-5.32, -57.69)"
Lake Jacob,"Sherman, Howard and Taylor University","Malone, Reed and Monroe Hospital","(-13.2, -56.87)"
Johnsonville,Howard PLC University,"Turner, Dawson and Curry Hospital","(-4.85, -52.18)"
East Albertburgh,"Mills, Jones and Meyer University","Jones, Fields and Woods Hospital","(-10.82, -50.4)"
Port Teresaside,"Blevins, Wise and Hughes University","Carney, Jennings and Chavez Hospital","(-14.79, -54.83)"
Aaronville,"Griffin, Fisher and Chambers University",Simpson LLC Hospital,"(-0.87, -56.58)"
Bernardhaven,Lyons LLC University,"Terry, Howard and Reynolds Hospital","(-14.71, -53.8)"
New Alexandria,Alexander-Warren University,Wilson-Mitchell Hospital,"(-2.52, -57.39)"
Autumnburgh,Shelton and Sons University,Dillon-James Hospital,"(-9.73, -52.47)"
Darrenhaven,Howard-Oneill University,"Perez, Campos and Williams Hospital","(-8.15, -58.86)"
Chloestad,"Allen, Miller and Lewis University",Stone-Hughes Hospital,"(-14.77, -51.57)"
Mullenfurt,Rivera-Harris University,Sanchez Inc Hospital,"(-12.43, -58.32)"
Robertchester,Weber-Williams University,"Phillips, Barnett and Bishop Hospital","(-11.13, -56.35)"
Christineborough,Hampton-Evans University,"Brady, Jones and Oneal Hospital","(0.43, -53.39)"
Port Pamela,Benitez Ltd University,"Mcmillan, Stewart and Doyle Hospital","(-8.99, -56.25)"
