Nombre de la ciudad,Universidad en la ciudad,Hospital en la ciudad,Coordenadas
West Jasonbury,Stewart PLC University,Garcia-Torres Hospital,"(-4.69, -54.54)"
Ryanton,"Jackson, Ross and Fox University",Herrera and Sons Hospital,"(-1.24, -56.33)"
Brianburgh,"Blake, Anderson and Stephens University",Johnson Inc Hospital,"(1.9, -50.22)"
West Pennyview,Johnson and Sons University,Walker Ltd Hospital,"(-6.53, -57.36)"
West Jessica,Hensley-Smith University,"Friedman, Carlson and Lawrence Hospital","(-1.04, -51.15)"
Samanthaburgh,Smith Ltd University,Cooper-Holt Hospital,"(-6.22, -57.63)"
South Cynthia,Kim Group University,Hawkins-Chung Hospital,"(0.36, -57.98)"
East Jimmyfurt,Watts Group University,"Smith, Vaughn and Mcgrath Hospital","(-13.28, -57.83)"
Lake Rhonda,Guzman-Bell University,Lopez Ltd Hospital,"(1.27, -53.39)"
Angelicaview,White-Clements University,Weber PLC Hospital,"(-1.31, -58.42)"
Lake Larry,Adams-Price University,Morgan-Woods Hospital,"(0.16, -57.81)"
West Shannonmouth,Li PLC University,Davis Ltd Hospital,"(0.25, -52.48)"
Adamton,"Miller, Rodriguez and Donaldson University",Williams Ltd Hospital,"(-10.01, -54.58)"
Millerhaven,Evans-Acosta University,"Carson, Garrett and Taylor Hospital","(-10.7, -51.54)"
Juliemouth,Wilson Inc University,Brown and Sons Hospital,"(-0.72, -58.04)"
North Jeanette,Barr Group University,"Tucker, Young and Mcdaniel Hospital","(-6.57, -51.99)"
Lake Amy,Martin PLC University,Riddle LLC Hospital,"(-12.66, -50.46)"
Hensonborough,"Wright, Nunez and Baldwin University","Castaneda, Walker and Taylor Hospital","(-6.45, -57.79)"
East Sean,Lucas-Robertson University,Mullins Ltd Hospital,"(-8.29, -57.96)"
Grossville,"Garrett, Donovan and Lewis University","King, Turner and King Hospital","(-7.89, -55.03)"
