Nombre de la ciudad,Universidad en la ciudad,Hospital en la ciudad,Coordenadas
Timothyport,"Summers, Fuller and Willis University",Smith-Rose Hospital,"(0.95, -56.37)"
South Francisco,Harper Ltd University,Ayala-Le Hospital,"(-8.1, -58.49)"
Jonesstad,"Peterson, Shaw and Higgins University","Hess, Lopez and Patel Hospital","(-11.77, -58.41)"
Eatonshire,Washington Inc University,"Evans, Gordon and Marks Hospital","(-2.42, -53.51)"
South Melissa,"Strong, Bryant and Reese University","Owen, Lawrence and Gomez Hospital","(-13.97, -51.29)"
East Royfurt,Young-Roach University,Brown-Espinoza Hospital,"(-13.43, -50.33)"
Molinashire,Chapman-Gomez University,White Inc Hospital,"(-7.96, -54.63)"
Michaelbury,Davis-Sanders University,"Salazar, Palmer and Medina Hospital","(-1.31, -54.81)"
West Laurenland,"West, Flores and Wolfe University",Gordon Ltd Hospital,"(-4.98, -57.65)"
Lake Martin,"Watson, Rowe and Reynolds University",Watkins-Anthony Hospital,"(-7.97, -55.91)"
North Joan,Flores and Sons University,Jenkins and Sons Hospital,"(-8.71, -58.8)"
Kingberg,Bell and Sons University,Johnson-Collins Hospital,"(-6.46, -55.66)"
Lake Angelashire,"Taylor, Terrell and Ramos University","Wilson, Atkinson and Nichols Hospital","(-6.5, -54.75)"
New Roberthaven,Gray-Smith University,"Williams, Watson and Middleton Hospital","(-12.22, -53.41)"
East Mariah,Coleman-Smith University,Thomas-Ware Hospital,"(0.33, -58.29)"
East Richardhaven,Perry Group University,"Williams, Patrick and Wilkinson Hospital","(-8.44, -56.19)"
Alisonhaven,Shaw-Acosta University,Lee and Sons Hospital,"(-11.32, -54.2)"
New David,Patrick and Sons University,Cannon Group Hospital,"(-0.47, -58.6)"
Yolandaborough,Proctor-Atkinson University,Phillips-Morgan Hospital,"(-10.09, -52.02)"
Port Nancymouth,Kelly Group University,Taylor and Sons Hospital,"(-13.49, -58.98)"
