Nombre de la ciudad,Universidad en la ciudad,Hospital en la ciudad,Coordenadas
Chloetown,Webb-Rodgers University,White and Sons Hospital,"(-6.02, -50.58)"
West Abigail,"Gamble, Lee and Spencer University","Carney, Campbell and Yates Hospital","(-2.12, -50.86)"
South Tiffany,Snow PLC University,Moss Group Hospital,"(-6.95, -55.96)"
East Brittanyport,"Dawson, Smith and Brown University",Church-Porter Hospital,"(1.77, -55.85)"
North Eddieborough,"Hall, Vargas and Banks University","Browning, Farmer and Vargas Hospital","(-1.84, -58.77)"
North Virginiamouth,Green LLC University,Sanchez Inc Hospital,"(-5.12, -56.56)"
Martinezbury,Flores and Sons University,"Morgan, Knight and Green Hospital","(-12.74, -58.38)"
Tiffanychester,"Coleman, Cole and Hernandez University",Clark-Kemp Hospital,"(-13.05, -58.42)"
Port Johnview,Herrera LLC University,"Ortiz, Mckee and Wright Hospital","(2.22, -57.14)"
Johnsonfurt,Moore-Gordon University,"Thompson, Burns and Bond Hospital","(-9.52, -54.11)"
North Maureen,Ramirez-Rangel University,"Parsons, Flores and Jones Hospital","(-0.18, -57.03)"
East Kelseyport,"Clark, Macdonald and Kerr University","Everett, Wilkinson and Davis Hospital","(-12.04, -52.28)"
North John,Maldonado LLC University,Harris-Hernandez Hospital,"(-11.28, -52.71)"
Jenniferhaven,Foster-Jones University,"Mcdonald, Mcconnell and Hopkins Hospital","(-4.76, -52.2)"
South Codychester,Chang LLC University,Bowers and Sons Hospital,"(-14.1, -52.42)"
East Daniel,Simpson Ltd University,Dennis-Gates Hospital,"(-1.64, -53.94)"
Jackmouth,Taylor-Crane University,Hanson-Mathis Hospital,"(2.7, -51.79)"
Adrianton,"Hoffman, Long and Harmon University",Williams Ltd Hospital,"(-5.0, -57.23)"
West Michele,"Hernandez, Fischer and Freeman University",Green Inc Hospital,"(-10.9, -56.33)"
Angelatown,Brown-Hill University,"Patel, Harrison and Dixon Hospital","(-13.77, -54.21)"
