Nombre de la ciudad,Universidad en la ciudad,Hospital en la ciudad,Coordenadas
Josehaven,"Copeland, Griffin and Ryan University",Payne-Cox Hospital,"(1.53, -55.82)"
New Barbaraport,Campbell-Savage University,Orozco PLC Hospital,"(-11.17, -50.68)"
Codyborough,Fernandez-Lamb University,Thomas-Joseph Hospital,"(1.29, -56.65)"
Susanland,Roy and Sons University,Morales Group Hospital,"(0.07, -56.89)"
Lake Travis,"Contreras, Levy and Valenzuela University",Hill PLC Hospital,"(-6.43, -52.16)"
East Scottfort,Simon and Sons University,Moore LLC Hospital,"(-3.8, -52.56)"
Stephaniemouth,Koch-Barajas University,Jones Inc Hospital,"(-6.6, -51.74)"
New Valerie,Henderson-Rodriguez University,Rodriguez-Fuentes Hospital,"(1.26, -53.76)"
South Lauren,Underwood Inc University,Boyle and Sons Hospital,"(-11.16, -52.58)"
East Ryanfurt,"Cooper, Doyle and Bray University","Wilson, Powell and Ellison Hospital","(-11.08, -56.11)"
New Robert,Knight-Ball University,Hicks and Sons Hospital,"(0.8, -50.26)"
Jenniferville,"Johnson, Hughes and Hall University",Stewart Inc Hospital,"(-14.53, -57.37)"
South Jessicaside,Parks and Sons University,Richardson-Allen Hospital,"(-5.09, -57.04)"
Deniseside,Nguyen-Blanchard University,Scott and Sons Hospital,"(-6.83, -51.15)"
Millerhaven,"Robinson, Lewis and Ortiz University",Carlson-Hall Hospital,"(-4.12, -57.52)"
Lake Helen,"Contreras, Olson and Lee University",Johnson and Sons Hospital,"(-10.75, -58.51)"
Edwardsville,Smith-Frazier University,Higgins-Brown Hospital,"(-14.4, -55.49)"
West Diane,"White, Smith and Nguyen University",Schroeder Ltd Hospital,"(-5.16, -53.01)"
Port Catherine,Abbott LLC University,Arias-Mullins Hospital,"(0.25, -53.56)"
Nolanmouth,Rollins-Stewart University,Jacobson-Gay Hospital,"(-1.82, -53.98)"
