Nombre de la ciudad,Universidad en la ciudad,Hospital en la ciudad,Coordenadas
South Hannahstad,Dawson PLC University,Ho LLC Hospital,"(-12.46, -53.98)"
West Alexis,Coleman-Cabrera University,Madden Ltd Hospital,"(-9.59, -51.19)"
East Aaron,Young Group University,"Joyce, David and Salazar Hospital","(-0.71, -51.18)"
Brownchester,Cooper-Vasquez University,Ryan PLC Hospital,"(-2.17, -51.67)"
West Dannyport,Price-Harris University,"Dean, Steele and Davis Hospital","(-4.72, -51.33)"
Keithshire,"Johnson, Osborne and Cook University",Delacruz-Tran Hospital,"(-8.53, -50.09)"
Angelaton,Carter-Johnson University,Gonzalez-Krause Hospital,"(-12.71, -55.41)"
Lake Marc,Wilson-Hardy University,Peck Group Hospital,"(-3.07, -56.36)"
Nelsonside,Hoover-Braun University,"Johnson, Smith and Diaz Hospital","(-11.57, -50.97)"
Hillport,Bryant-Lawson University,"Hanson, Smith and Collins Hospital","(-13.09, -56.29)"
Heatherville,"Bender, Williams and Smith University",Wilkins LLC Hospital,"(-0.2, -56.16)"
Port Jessica,Hernandez PLC University,"Jenkins, Freeman and Tran Hospital","(-5.42, -54.17)"
North Christina,"Thornton, Knapp and Guerrero University",Lucas-Dickerson Hospital,"(-14.29, -58.45)"
West Jennifershire,Ramirez-Parker University,"Carter, Pearson and Stewart Hospital","(-13.37, -52.6)"
South Lauramouth,"Jones, Peterson and Hickman University",Williams Inc Hospital,"(-11.63, -55.49)"
South Tommyhaven,"Chavez, Stewart and Briggs University",Oliver PLC Hospital,"(2.45, -53.28)"
Cynthiaburgh,Rubio-Rice University,Bean-Weber Hospital,"(-10.87, -52.73)"
South Alexandramouth,King LLC University,Vasquez Group Hospital,"(0.53, -57.58)"
Newmanmouth,Lewis-Brown University,Rocha Inc Hospital,"(-10.9, -57.44)"
Dianeville,Hernandez Group University,Cline-Morgan Hospital,"(-13.91, -56.79)"
