Nombre de la ciudad,Universidad en la ciudad,Hospital en la ciudad,Coordenadas
Mitchellport,Gray-Lewis University,Sherman Ltd Hospital,"(-6.66, -50.85)"
Port Emmaburgh,Jackson Inc University,"Johnson, Maxwell and Hill Hospital","(-6.09, -55.87)"
Port Pamelaland,Evans Inc University,"Baker, Flores and Howell Hospital","(-7.62, -55.07)"
New Jessicamouth,Gentry-Schroeder University,Beck-Brown Hospital,"(-10.33, -53.28)"
West Thomas,Hernandez LLC University,Joseph-Norman Hospital,"(-4.09, -57.91)"
Lake Jorge,Jensen-Andrade University,Johnson PLC Hospital,"(-5.51, -57.96)"
Lake Scott,Shelton-Bennett University,"Wiley, Johnson and Moore Hospital","(-2.99, -54.69)"
Mcphersonmouth,Gonzalez-Clayton University,Carter-Blanchard Hospital,"(-9.01, -56.93)"
Port Danielton,"Dudley, Dominguez and Garrison University",Martin PLC Hospital,"(-5.34, -53.44)"
Port Scott,"Hughes, Lee and Brown University",Houston Inc Hospital,"(-12.86, -52.64)"
South Jamieland,"Johnson, Barton and Love University","Sawyer, Hernandez and Morris Hospital","(-10.2, -55.9)"
West Leah,Ryan-Alexander University,Martinez-Brown Hospital,"(-8.42, -52.85)"
Matthewfort,"Moore, Hawkins and Stuart University",Morrison-Rodriguez Hospital,"(-12.61, -55.93)"
Davismouth,Cummings Group University,Reilly-Jackson Hospital,"(1.99, -56.69)"
West Christineberg,Newman-Gordon University,Murillo LLC Hospital,"(-13.77, -56.06)"
Lake Beckyland,Fletcher-Dominguez University,Cruz-Hart Hospital,"(-6.31, -58.6)"
South Tyler,Blankenship-Glover University,"Mckee, Gonzales and Taylor Hospital","(-4.14, -54.95)"
Port Jessicaton,"Rivera, Melton and Carroll University","Lee, Rodriguez and Sutton Hospital","(0.95, -53.65)"
Dixonstad,"Carter, Gilmore and Christensen University","Martin, Lucero and Sweeney Hospital","(-14.47, -50.57)"
South Anaberg,Pittman PLC University,Schmidt LLC Hospital,"(-12.46, -55.26)"
