Nombre de la ciudad,Universidad en la ciudad,Hospital en la ciudad,Coordenadas
Port Darryl,Sloan-Navarro University,"West, Scott and Valdez Hospital","(-14.98, -50.69)"
West Patriciaside,"Lane, Ferrell and Salazar University","Carr, Simon and Griffin Hospital","(-7.17, -53.21)"
Brettstad,Rios Ltd University,Huang Group Hospital,"(-12.21, -55.19)"
Lake Jillianhaven,Moran-Clark University,Williams-Patton Hospital,"(-3.36, -57.41)"
Turnerberg,Dickerson Group University,Wilson-Ryan Hospital,"(0.91, -52.84)"
West Davidmouth,"James, Parks and Palmer University",Murphy and Sons Hospital,"(-6.49, -54.62)"
Lake Marissa,"Wheeler, Cross and Palmer University","Miller, Shannon and Johnson Hospital","(-4.64, -53.25)"
Rachelview,Carter-Thompson University,Bishop Inc Hospital,"(2.22, -55.35)"
Lake Tonytown,Chavez PLC University,Black-Dyer Hospital,"(-9.34, -58.57)"
Ronaldport,"Joseph, Wilkinson and Lyons University","Butler, Armstrong and Johnson Hospital","(-9.73, -54.13)"
Lake David,"Parks, Ross and Liu University",Jones Group Hospital,"(-13.78, -51.95)"
Hillfort,Moore-Sanchez University,Rodriguez LLC Hospital,"(-8.89, -52.91)"
Jamesland,Bruce-Duran University,"Turner, Lopez and Miller Hospital","(-4.68, -54.4)"
Matthewview,"Perez, Harvey and Herrera University",Duncan and Sons Hospital,"(1.29, -58.1)"
Jasmineberg,Lyons LLC University,Gibson-Nichols Hospital,"(1.07, -57.14)"
Port George,Kelly LLC University,"Morgan, Roberts and Christensen Hospital","(-6.26, -53.29)"
Port Robert,"Perkins, Smith and Valdez University","Moore, Clark and Perez Hospital","(-1.01, -51.39)"
Thompsonton,Krueger-Richardson University,"Beasley, Pope and Buchanan Hospital","(-1.38, -50.77)"
Rayfort,Jenkins PLC University,Hunt-Johnson Hospital,"(-1.98, -56.8)"
New Michael,"Alvarez, Rasmussen and Henson University",Gonzales LLC Hospital,"(-11.98, -55.53)"
