Nombre de la ciudad,Universidad en la ciudad,Hospital en la ciudad,Coordenadas
East Charlesfurt,"Fowler, Jackson and Leon University","Barrett, Tucker and Cole Hospital","(-9.09, -51.25)"
East Robinborough,"Johnson, Jarvis and Jennings University",Clark-Savage Hospital,"(1.15, -54.76)"
Sarahaven,"Tanner, Thomas and Pena University",Smith-Ortiz Hospital,"(-2.96, -56.76)"
Jeffreytown,Rubio-Mcclain University,Parsons and Sons Hospital,"(2.69, -52.34)"
Gordonmouth,Frost and Sons University,Holmes-Duffy Hospital,"(2.06, -52.32)"
Ianfurt,Adams-Grant University,Lewis Group Hospital,"(0.16, -52.52)"
Nancymouth,Wise and Sons University,"Jenkins, Hawkins and Jackson Hospital","(-13.26, -51.35)"
Barrettburgh,Foster and Sons University,Cochran-Smith Hospital,"(-12.18, -57.92)"
Wendyburgh,Sparks PLC University,Melton-Price Hospital,"(2.16, -54.78)"
Lawsonstad,"Parks, Clark and Howell University",Rice Ltd Hospital,"(0.37, -50.67)"
Garcialand,Gonzalez-Russell University,"Hernandez, Hawkins and Whitaker Hospital","(2.37, -55.48)"
Lake Alexis,Wade-Bradshaw University,Zamora-Jenkins Hospital,"(-6.73, -58.15)"
Harriston,Mitchell-Downs University,"Wilkinson, Acosta and Reeves Hospital","(-11.4, -55.93)"
East Susan,Campbell Inc University,"Richardson, Hall and Johnson Hospital","(-9.24, -51.69)"
Johnview,Henry Ltd University,Barker-Russo Hospital,"(-2.46, -58.06)"
New Paulmouth,"King, Hernandez and Miller University",Watson Inc Hospital,"(-13.72, -51.34)"
Larryville,"Larson, Elliott and Johnson University",Miller Ltd Hospital,"(-2.46, -51.53)"
Lake Toddview,Young Inc University,Stone PLC Hospital,"(-8.25, -52.13)"
Christopherview,"Peters, Green and Hebert University",Torres PLC Hospital,"(2.33, -58.04)"
Robinhaven,"Torres, Harris and Tran University",Davis-Russo Hospital,"(-13.39, -50.92)"
