Nombre de la ciudad,Universidad en la ciudad,Hospital en la ciudad,Coordenadas
Warrenbury,Benson-Weaver University,Cervantes-Reyes Hospital,"(0.48, -50.27)"
Glennhaven,"Montoya, Cox and Garza University","Watts, Moyer and Gonzalez Hospital","(-13.96, -55.91)"
Jameschester,"Anderson, Poole and Reynolds University",Kennedy Group Hospital,"(-10.89, -53.07)"
Silvaland,"Murphy, Smith and Johnson University",Davis PLC Hospital,"(-6.33, -52.85)"
Dukemouth,Harris and Sons University,"Montgomery, Haynes and Ramirez Hospital","(-13.61, -55.05)"
Robertview,Chavez Ltd University,"Brown, Chung and Berry Hospital","(-14.21, -54.73)"
Foxberg,Clark-Jones University,Velez Inc Hospital,"(-6.66, -55.41)"
Port Robert,Hamilton LLC University,Contreras-Mooney Hospital,"(-7.03, -52.12)"
North Heatherstad,Castaneda-Brooks University,Hernandez-Smith Hospital,"(-14.19, -53.37)"
Hunterland,Wilson and Sons University,Dean-Ellis Hospital,"(-2.42, -51.38)"
Dunnhaven,Bradley and Sons University,Walker-Cervantes Hospital,"(-3.18, -52.47)"
South Wesleyland,Smith Inc University,Villegas-Wheeler Hospital,"(1.07, -58.39)"
Davisberg,"Schroeder, Cameron and Hudson University",Gonzalez-Armstrong Hospital,"(-6.02, -58.72)"
Port Jon,Stewart Inc University,Gibbs and Sons Hospital,"(-3.38, -51.22)"
East Jennifer,Buck Group University,Anderson-Roberts Hospital,"(0.97, -58.4)"
South Charles,Jennings-Hendrix University,"Murillo, Aguirre and Fernandez Hospital","(-10.17, -56.85)"
Leeburgh,Stein-Walker University,Graham PLC Hospital,"(-11.71, -55.52)"
New Dianachester,Obrien Ltd University,Lambert-Hicks Hospital,"(-13.91, -55.89)"
Erikabury,"Donovan, Robbins and Flores University","Richardson, Orozco and Meyer Hospital","(-1.22, -52.58)"
Obrienbury,"Schwartz, Rodriguez and Foster University",Fitzgerald-Davis Hospital,"(-9.85, -51.39)"
