Nombre de la ciudad,Universidad en la ciudad,Hospital en la ciudad,Coordenadas
Ashleyburgh,White Group University,"Smith, Arnold and Martin Hospital","(2.19, -51.74)"
Lake John,"Oliver, Todd and Peterson University",Blevins and Sons Hospital,"(-4.82, -52.65)"
Adrianland,Cunningham Group University,"Hurley, French and Reese Hospital","(-13.99, -54.8)"
Grahamberg,Gillespie-Sanders University,Williams-Massey Hospital,"(-12.35, -56.97)"
New Sarahshire,Salinas LLC University,Cruz PLC Hospital,"(-4.01, -56.96)"
Tabithachester,Burton Ltd University,Cross-Williams Hospital,"(-7.33, -52.39)"
Ashleybury,"Howard, Washington and Peters University",Hines-Fischer Hospital,"(-9.27, -52.16)"
Port Ryan,Bailey Ltd University,Robinson and Sons Hospital,"(-3.17, -56.52)"
South Meghanstad,"Lawson, Figueroa and Bailey University","Hale, Davis and Vargas Hospital","(-2.24, -55.5)"
Mariaton,Escobar Ltd University,"Munoz, Herrera and Montoya Hospital","(-1.25, -57.87)"
Lake Jeremiahhaven,Ramirez Group University,Morse Inc Hospital,"(2.26, -56.44)"
Merrittberg,Odonnell-Gill University,Garrett Ltd Hospital,"(-5.08, -55.97)"
Stevensonview,Collins Ltd University,Hernandez and Sons Hospital,"(-5.46, -55.32)"
Jenniferbury,Yates PLC University,"Jones, Lee and Martin Hospital","(-0.48, -55.06)"
Livingstonstad,Bates-Campos University,Howell LLC Hospital,"(-14.29, -56.6)"
New Steveshire,Yang-Daniels University,"Garcia, Underwood and Fischer Hospital","(2.26, -52.51)"
Scottmouth,Thomas LLC University,"Gonzalez, Espinoza and Hanson Hospital","(-6.74, -55.28)"
Anntown,Horton-Stewart University,"Jones, Pope and Bennett Hospital","(-1.75, -58.76)"
New Timothy,"Jones, Watson and Lucas University",Valenzuela-Jones Hospital,"(-12.1, -50.32)"
North Michael,"Guzman, Day and Martinez University","Jones, Hansen and Hansen Hospital","(-11.31, -51.65)"
