Nombre de la ciudad,Universidad en la ciudad,Hospital en la ciudad,Coordenadas
Haleburgh,"Gallagher, Ali and Wu University",Dominguez-Coffey Hospital,"(-14.67, -52.67)"
Debbiefurt,"Johnson, Leonard and Williams University","Riley, Wong and Foster Hospital","(0.45, -50.73)"
North Bryan,"Owens, Perry and Anthony University",Spencer and Sons Hospital,"(1.48, -54.58)"
Grantborough,Thompson and Sons University,"Stanley, Ross and Jones Hospital","(-9.67, -52.78)"
New Julie,"Davis, Mayer and Blake University",Lucas and Sons Hospital,"(-5.96, -55.64)"
New Tammyport,"Moran, Howard and Herrera University",Anderson-Harrison Hospital,"(-6.62, -51.4)"
East Crystal,Pena Ltd University,Reed-Thomas Hospital,"(-4.02, -58.31)"
West Angelaview,Rhodes-Gibson University,"Guzman, Long and Curry Hospital","(-4.61, -54.06)"
Michaelbury,"Jenkins, Weber and Rodriguez University",Schroeder PLC Hospital,"(-10.55, -55.9)"
Lake Tannertown,Browning Inc University,Stephens-Morton Hospital,"(-5.85, -56.02)"
West Jason,King PLC University,"Turner, Erickson and Reed Hospital","(-2.55, -50.96)"
Travisstad,Robinson-Hayes University,Mack LLC Hospital,"(-10.89, -50.04)"
Lake Samanthaside,Rios-Pacheco University,Koch-Wise Hospital,"(2.28, -51.04)"
Lake Kennethmouth,Bryant-Thomas University,Holland PLC Hospital,"(-8.79, -58.96)"
South Mariaborough,"Henry, Beck and Taylor University","Schroeder, Walsh and Snyder Hospital","(-11.51, -53.08)"
Lake Jessicaberg,Willis-Goodwin University,White PLC Hospital,"(-11.15, -57.69)"
Lake Patriciahaven,Key-Lewis University,Fox-Kim Hospital,"(-7.04, -57.31)"
Blairberg,Smith Inc University,Adkins-Rivera Hospital,"(-4.6, -50.89)"
Robertside,Lucas-Holt University,"Powers, Thomas and Shah Hospital","(-13.1, -51.08)"
Santanafort,"Woods, Weaver and Rivers University",Hughes-Nelson Hospital,"(-8.18, -52.5)"
