Nombre de la ciudad,Universidad en la ciudad,Hospital en la ciudad,Coordenadas
Oscarborough,Chaney-Calderon University,"Mccoy, Brooks and Miles Hospital","(-0.54, -53.3)"
Gillburgh,Schneider Inc University,Hammond-Lewis Hospital,"(-9.18, -52.7)"
Brennanfort,"Greer, Quinn and Williams University",Crosby-Nguyen Hospital,"(-2.04, -51.49)"
Elizabethland,"Garcia, Adams and Leon University",Riley LLC Hospital,"(0.3, -50.05)"
North Christineton,"Knight, Sims and Bush University",Johnson PLC Hospital,"(-12.33, -56.42)"
South Laurie,Hudson-Jackson University,Jordan Group Hospital,"(-1.68, -51.21)"
Lake Laurastad,"Lopez, Burke and Patrick University",Carter and Sons Hospital,"(-10.39, -56.48)"
Sarahfort,"Mcconnell, Rodriguez and Park University",Stanton Ltd Hospital,"(-0.17, -56.16)"
New Sandrahaven,Cabrera Group University,Lloyd Group Hospital,"(-8.59, -54.66)"
Jonesland,Meyers LLC University,Moore and Sons Hospital,"(-9.49, -58.31)"
South Keithfort,"Hall, Bryant and Johnson University",Moses Group Hospital,"(0.98, -54.27)"
Port Hannah,Bailey-Webster University,Ford-Myers Hospital,"(-3.93, -52.07)"
Jeremymouth,Acevedo-Lopez University,Frye-Rice Hospital,"(-3.99, -55.41)"
Jeffreyton,Garcia PLC University,Richardson PLC Hospital,"(-0.77, -58.75)"
East Roberttown,Brown-Jackson University,"Raymond, Watson and Gardner Hospital","(-2.76, -51.77)"
Lake Melanieland,Mitchell Inc University,Watson and Sons Hospital,"(-3.68, -55.51)"
North Elizabeth,"Marquez, Collier and Kaiser University",Fuller Group Hospital,"(-1.32, -56.47)"
West John,"Mendoza, Erickson and Bryant University",Green-Mullen Hospital,"(-12.54, -57.45)"
South Timothystad,Brown-Johnson University,"Davis, Walls and Holland Hospital","(-5.25, -51.77)"
North Crystal,Miller PLC University,"Jackson, Ellison and Peterson Hospital","(-13.01, -56.82)"
