Nombre de la ciudad,Universidad en la ciudad,Hospital en la ciudad,Coordenadas
Rodriguezside,"Webb, Gibbs and Mcbride University","Owens, Carpenter and Bush Hospital","(-9.19, -53.5)"
Brettfort,Salazar-Gentry University,Wright Inc Hospital,"(-1.78, -58.03)"
Harttown,Taylor-Crawford University,"Johnson, Kent and Fuller Hospital","(-0.48, -51.39)"
Robertchester,"Martin, Hoffman and Hurley University",Stewart Group Hospital,"(-9.25, -51.93)"
East Bradley,"Matthews, Parker and Freeman University",Kennedy-Goodwin Hospital,"(-6.23, -53.73)"
South Joyceborough,"Fields, Bullock and Bullock University",Cruz Ltd Hospital,"(-0.42, -53.67)"
Teresaport,Brady-Wright University,Smith and Sons Hospital,"(-12.47, -55.77)"
East Terry,"Johnson, Burke and Campbell University",Montgomery-Edwards Hospital,"(-3.68, -50.88)"
Lindastad,Moore-Santana University,Phillips-Reyes Hospital,"(-1.8, -52.48)"
North Sarahview,"Cline, Archer and Austin University",Lee Ltd Hospital,"(-2.22, -50.92)"
East Laura,Bush-Chung University,"Foster, Fisher and Espinoza Hospital","(-5.58, -54.6)"
Millerview,"Harris, Owens and Fields University","Hall, Cooper and Jones Hospital","(-6.26, -58.66)"
East Randallview,Walls-Davis University,Mcmahon and Sons Hospital,"(-7.56, -51.44)"
Lake Jenniferside,"Levy, Alvarez and Thomas University",Miller-Santiago Hospital,"(2.82, -50.17)"
Ballchester,Terrell LLC University,Jackson Group Hospital,"(-4.64, -51.52)"
North Keithfort,"Parsons, Gillespie and Santiago University",Martin-Hansen Hospital,"(-11.42, -51.65)"
Lake Michelleview,"Velasquez, Douglas and Hopkins University",Lane LLC Hospital,"(-10.14, -50.51)"
Goodwinside,Anderson-Bryant University,Perry Ltd Hospital,"(-14.79, -55.61)"
New Stevenmouth,Byrd Group University,Waters Group Hospital,"(-5.51, -53.13)"
Lopezland,King Group University,"Horton, Ferguson and Ross Hospital","(-9.51, -52.63)"
