Nombre de la ciudad,Universidad en la ciudad,Hospital en la ciudad,Coordenadas
Williamsport,Huang-Williams University,Diaz Group Hospital,"(-8.23, -51.31)"
South Susanhaven,"Cruz, Cooper and Brown University","Lopez, Guzman and Garcia Hospital","(-4.36, -58.64)"
East Maria,Burke-Lynch University,"Clark, Aguilar and Mitchell Hospital","(0.15, -53.97)"
South Charles,"Patel, Hawkins and Wilson University","Stone, Hart and Taylor Hospital","(-8.03, -58.64)"
New Brendaside,Hill Inc University,Martinez Group Hospital,"(-10.55, -54.17)"
Lake Wandafort,Kelly LLC University,Combs PLC Hospital,"(-7.89, -54.13)"
Simmonsville,"Miller, Rodriguez and Mcpherson University",Trevino-Thompson Hospital,"(-2.62, -58.56)"
Jillton,Orozco-Singh University,"Byrd, Hayes and Browning Hospital","(-4.63, -58.17)"
Port Scott,Gray-Hughes University,Morris LLC Hospital,"(0.15, -52.22)"
Lake Markbury,"Higgins, Palmer and Nelson University",Guerrero-Rodriguez Hospital,"(-2.41, -53.79)"
West Alexandrahaven,Estrada LLC University,Rodriguez Group Hospital,"(-6.16, -54.93)"
Lake Jacob,Brown-Fry University,Vincent-Le Hospital,"(-1.66, -55.38)"
North Charlesshire,Levy-Simmons University,Arnold Group Hospital,"(-1.26, -53.11)"
Kentton,Nielsen LLC University,Stephenson Ltd Hospital,"(0.89, -52.31)"
Kingburgh,Mack Inc University,"Taylor, Collins and Morse Hospital","(2.86, -50.99)"
Morganberg,Blackburn-Jones University,Smith-Mcgee Hospital,"(-0.76, -52.18)"
Sydneyland,Heath Inc University,"Flores, Church and Campbell Hospital","(-7.06, -56.96)"
Suzannemouth,"Montgomery, Stevens and Mendez University","Church, Grant and Oliver Hospital","(-14.47, -51.68)"
Elizabethtown,Morgan LLC University,"Anderson, Harris and Smith Hospital","(-11.88, -53.51)"
Ashleyshire,Bentley-Cox University,"Mendoza, Murray and Golden Hospital","(-3.31, -56.95)"
